wvl_nm	xsec_ClNO3	A1	A2
466	0	0	0\r
468	0	0	0\r
470	0	0	0\r
472	0	0	0\r
474	0	0	0\r
476	0	0	0\r
478	0	0	0\r
480	0	0	0\r
482	0	0	0\r
484	0	0	0\r
486	0	0	0\r
488	0	0	0\r
490	0	0	0\r
492	0	0	0\r
494	0	0	0\r
496	0	0	0\r
498	0	0	0\r
500	0	0	0\r
502	0	0	0\r
504	0	0	0\r
506	0	0	0\r
508	0	0	0\r
510	0	0	0\r
512	0	0	0\r
514	0	0	0\r
516	0	0	0\r
518	0	0	0\r
520	0	0	0\r
522	0	0	0\r
524	0	0	0\r
526	0	0	0\r
528	0	0	0\r
530	0	0	0\r
532	0	0	0\r
534	0	0	0\r
536	0	0	0\r
538	0	0	0\r
540	0	0	0\r
542	0	0	0\r
544	0	0	0\r
546	0	0	0\r
548	0	0	0\r
550	0	0	0\r
552	0	0	0\r
554	0	0	0\r
556	0	0	0\r
558	0	0	0\r
560	0	0	0\r
562	0	0	0\r
564	0	0	0\r
566	0	0	0\r
568	0	0	0\r
570	0	0	0\r
572	0	0	0\r
574	0	0	0\r
576	0	0	0\r
578	0	0	0\r
580	0	0	0\r
582	0	0	0\r
584	0	0	0\r
586	0	0	0\r
588	0	0	0\r
590	0	0	0\r
592	0	0	0\r
594	0	0	0\r
596	0	0	0\r
598	0	0	0\r
600	0	0	0\r
602	0	0	0\r
604	0	0	0\r
606	0	0	0\r
608	0	0	0\r
610	0	0	0\r
612	0	0	0\r
614	0	0	0\r
616	0	0	0\r
618	0	0	0\r
620	0	0	0\r
622	0	0	0\r
624	0	0	0\r
626	0	0	0\r
628	0	0	0\r
630	0	0	0\r
632	0	0	0\r
634	0	0	0\r
636	0	0	0\r
638	0	0	0\r
640	0	0	0\r
642	0	0	0\r
644	0	0	0\r
646	0	0	0\r
648	0	0	0\r
650	0	0	0\r
652	0	0	0\r
654	0	0	0\r
656	0	0	0\r
658	0	0	0\r
660	0	0	0\r
662	0	0	0\r
664	0	0	0\r
666	0	0	0\r
668	0	0	0\r
670	0	0	0\r
672	0	0	0\r
674	0	0	0\r
676	0	0	0\r
678	0	0	0\r
680	0	0	0\r
682	0	0	0\r
684	0	0	0\r
686	0	0	0\r
688	0	0	0\r
690	0	0	0\r
692	0	0	0\r
694	0	0	0\r
696	0	0	0\r
698	0	0	0\r
700	0	0	0\r
702	0	0	0\r
704	0	0	0\r
706	0	0	0\r
708	0	0	0\r
710	0	0	0\r
712	0	0	0\r
714	0	0	0\r
716	0	0	0\r
718	0	0	0\r
720	0	0	0\r
722	0	0	0\r
724	0	0	0\r
726	0	0	0\r
728	0	0	0\r
730	0	0	0\r
732	0	0	0\r
734	0	0	0\r
736	0	0	0\r
738	0	0	0\r
740	0	0	0\r
742	0	0	0\r
744	0	0	0\r
746	0	0	0\r
748	0	0	0\r
750	0	0	0\r
752	0	0	0\r
754	0	0	0\r
756	0	0	0\r
758	0	0	0\r
760	0	0	0\r
762	0	0	0\r
764	0	0	0\r
766	0	0	0\r
768	0	0	0\r
770	0	0	0\r
772	0	0	0\r
774	0	0	0\r
776	0	0	0\r
778	0	0	0\r
780	0	0	0\r
782	0	0	0\r
784	0	0	0\r
786	0	0	0\r
788	0	0	0\r
790	0	0	0\r
792	0	0	0\r
794	0	0	0\r
796	0	0	0\r
798	0	0	0\r
800	0	0	0\r
802	0	0	0\r
804	0	0	0\r
806	0	0	0\r
808	0	0	0\r
810	0	0	0\r
812	0	0	0\r
814	0	0	0\r
816	0	0	0\r
818	0	0	0\r
820	0	0	0\r
822	0	0	0\r
824	0	0	0\r
826	0	0	0\r
828	0	0	0\r
830	0	0	0\r
832	0	0	0\r
834	0	0	0\r
836	0	0	0\r
838	0	0	0\r
840	0	0	0\r
842	0	0	0\r
844	0	0	0\r
846	0	0	0\r
848	0	0	0\r
850	0	0	0\r
852	0	0	0\r
854	0	0	0\r
856	0	0	0\r
858	0	0	0\r
860	0	0	0\r
862	0	0	0\r
864	0	0	0\r
866	0	0	0\r
868	0	0	0\r
870	0	0	0\r
872	0	0	0\r
874	0	0	0\r
876	0	0	0\r
878	0	0	0\r
880	0	0	0\r
882	0	0	0\r
884	0	0	0\r
886	0	0	0\r
888	0	0	0\r
890	0	0	0\r
892	0	0	0\r
894	0	0	0\r
896	0	0	0\r
898	0	0	0\r
900	0	0	0\r
902	0	0	0\r
904	0	0	0\r
906	0	0	0\r
908	0	0	0\r
910	0	0	0\r
912	0	0	0\r
914	0	0	0\r
916	0	0	0\r
918	0	0	0\r
920	0	0	0\r
922	0	0	0\r
924	0	0	0\r
926	0	0	0\r
928	0	0	0\r
930	0	0	0\r
932	0	0	0\r
934	0	0	0\r
936	0	0	0\r
938	0	0	0\r
940	0	0	0\r
942	0	0	0\r
944	0	0	0\r
946	0	0	0\r
948	0	0	0\r
950	0	0	0\r
952	0	0	0\r
954	0	0	0\r
956	0	0	0\r
958	0	0	0\r
960	0	0	0\r
962	0	0	0\r
964	0	0	0\r
966	0	0	0\r
968	0	0	0\r
970	0	0	0\r
972	0	0	0\r
974	0	0	0\r
976	0	0	0\r
978	0	0	0\r
980	0	0	0\r
982	0	0	0\r
984	0	0	0\r
986	0	0	0\r
988	0	0	0\r
990	0	0	0\r
992	0	0	0\r
994	0	0	0\r
996	0	0	0\r
998	0	0	0\r
1000	0	0	0\r
1002	0	0	0\r
1004	0	0	0\r
1006	0	0	0\r
1008	0	0	0\r
1010	0	0	0\r
1012	0	0	0\r
1014	0	0	0\r
1016	0	0	0\r
1018	0	0	0\r
1020	0	0	0\r
1022	0	0	0\r
1024	0	0	0\r
1026	0	0	0\r
1028	0	0	0\r
1030	0	0	0\r
1032	0	0	0\r
1034	0	0	0\r
1036	0	0	0\r
1038	0	0	0\r
1040	0	0	0\r
1042	0	0	0\r
1044	0	0	0\r
1046	0	0	0\r
1048	0	0	0\r
1050	0	0	0\r
1052	0	0	0\r
1054	0	0	0\r
1056	0	0	0\r
1058	0	0	0\r
1060	0	0	0\r
1062	0	0	0\r
1064	0	0	0\r
1066	0	0	0\r
1068	0	0	0\r
1070	0	0	0\r
1072	0	0	0\r
1074	0	0	0\r
1076	0	0	0\r
1078	0	0	0\r
1080	0	0	0\r
1082	0	0	0\r
1084	0	0	0\r
1086	0	0	0\r
1088	0	0	0\r
1090	0	0	0\r
1092	0	0	0\r
1094	0	0	0\r
1096	0	0	0\r
1098	0	0	0\r
1100	0	0	0\r
